,count,lat,long,pop,pop/ex
382,1.0,14.8311,120.7892,53294.0,53294.0
383,3.0,14.7,120.9167,59197.0,19732.333333333332
384,7.0,14.902,120.849,97323.0,13903.285714285714
385,4.0,14.95,120.9667,94655.0,23663.75
386,5.0,15.0789,120.9419,104471.0,20894.2
387,2.0,14.9281,121.0293,59237.0,29618.5
388,2.0,15.4531,120.7911,49387.0,24693.5
389,3.0,15.7167,120.9,81483.0,27161.0
390,3.0,16.6,121.4667,52569.0,17523.0
391,4.0,17.2667,121.8,67650.0,16912.5
392,2.0,16.7333,120.3833,42078.0,21039.0
393,4.0,15.7874,120.2921,73241.0,18310.25
394,2.0,16.15,120.45,83025.0,41512.5
395,4.0,16.0439,120.4856,69497.0,17374.25
396,5.0,16.05,120.6,54555.0,10911.0
397,3.0,14.6206,120.5817,56002.0,18667.333333333332
398,3.0,14.9333,120.2,64841.0,21613.666666666668
399,3.0,14.9333,120.6,160838.0,53612.666666666664
400,6.0,14.9333,120.5,125163.0,20860.5
401,4.0,15.7333,120.5667,57787.0,14446.75
402,4.0,15.6,120.6,87531.0,21882.75
403,2.0,15.6167,120.4333,47538.0,23769.0
404,3.0,11.3333,124.0167,84430.0,28143.333333333332
405,1.0,9.762,124.488,32408.0,32408.0
406,2.0,9.95,123.4,31130.0,15565.0
407,4.0,9.8833,123.6,72366.0,18091.5
408,5.0,10.4667,123.7833,87177.0,17435.4
409,3.0,10.7333,123.8333,63866.0,21288.666666666668
410,3.0,10.9,123.0833,87933.0,29311.0
411,1.0,9.35,123.2833,59455.0,59455.0
412,4.0,10.1,122.8667,106880.0,26720.0
413,3.0,10.7458,125.0122,59571.0,19857.0
414,3.0,11.3,124.6833,51345.0,17115.0
415,2.0,11.05,124.3833,58108.0,29054.0
416,1.0,10.9333,124.4333,46915.0,46915.0
417,3.0,10.9833,124.9,52732.0,17577.333333333332
418,1.0,11.7167,122.1,34333.0,34333.0
419,2.0,11.45,123.15,48546.0,24273.0
420,3.0,11.4728,123.0878,33088.0,11029.333333333334
421,2.0,10.6,122.6,36096.0,18048.0
422,8.0,10.775,122.5417,55603.0,6950.375
423,6.0,11.1333,122.5,60413.0,10068.833333333334
424,2.0,8.55,126.2,49730.0,24865.0
425,2.0,7.8167,126.05,94908.0,47454.0
426,4.0,7.5854,125.7052,76334.0,19083.5
427,4.0,7.6833,125.0,66959.0,16739.75
428,3.0,8.75,124.7833,67059.0,22353.0
429,3.0,7.9,123.7667,62853.0,20951.0
430,5.0,8.6549,123.4243,82418.0,16483.6
431,2.0,13.8176,121.133,52970.0,26485.0
432,4.0,7.6667,126.0833,87474.0,21868.5
433,4.0,10.95,122.5,63905.0,15976.25
434,2.0,11.05,122.7833,32532.0,16266.0
435,4.0,14.2667,120.7333,37720.0,9430.0
436,3.0,7.05,124.6667,154441.0,51480.333333333336
437,4.0,8.3697,124.8644,100210.0,25052.5
438,4.0,15.25,120.85,79007.0,19751.75
439,2.0,15.7967,121.4737,40734.0,20367.0
440,3.0,16.0323,120.269,83052.0,27684.0
441,1.0,10.3833,123.2,54509.0,54509.0
442,2.0,13.8833,120.9333,56327.0,28163.5
443,3.0,9.7333,122.9167,78864.0,26288.0
444,2.0,15.5333,119.95,47719.0,23859.5
445,2.0,15.65,120.25,69466.0,34733.0
446,2.0,16.0725,120.4411,40848.0,20424.0
447,2.0,11.2,124.85,55235.0,27617.5
448,2.0,13.9667,122.5333,51832.0,25916.0
449,2.0,14.1833,121.2833,62143.0,31071.5
450,1.0,7.5752,126.5585,56241.0,56241.0
451,2.0,15.7833,120.6667,65039.0,32519.5
452,2.0,14.0417,121.1583,56270.0,28135.0
453,4.0,13.5222,122.4042,53123.0,13280.75
454,1.0,14.1911,121.7308,63819.0,63819.0
455,2.0,14.6667,121.6,35979.0,17989.5
456,1.0,12.5833,124.0833,41101.0,41101.0
457,1.0,8.5667,124.5167,50204.0,50204.0
458,1.0,13.6333,123.5,55272.0,55272.0
459,3.0,15.5833,120.8667,57943.0,19314.333333333332
460,1.0,11.05,122.0667,33642.0,33642.0
461,2.0,9.1833,123.55,26861.0,13430.5
462,2.0,15.3833,120.8,77836.0,38918.0
463,3.0,16.7,121.65,79094.0,26364.666666666668
464,1.0,11.8167,122.1667,49564.0,49564.0
465,4.0,6.7167,124.5167,66095.0,16523.75
466,1.0,15.4988,120.841,63543.0,63543.0
467,3.0,6.0333,124.4833,44595.0,14865.0
468,4.0,8.5167,124.5667,61503.0,15375.75
469,2.0,12.3333,121.35,39107.0,19553.5
470,4.0,17.4333,121.7667,50174.0,12543.5
471,2.0,16.6667,121.45,42926.0,21463.0
472,2.0,11.1956,119.4075,41606.0,20803.0
473,2.0,12.9167,124.1167,59534.0,29767.0
474,6.0,13.972,121.687,75023.0,12503.833333333334
475,4.0,14.2333,121.3667,50289.0,12572.25
